topic	term	beta
1	busi	0.0477140403224299
1	peopl	0.0418421226688995
1	get	0.0212780001620955
1	can	0.01786848359722
1	need	0.0169598243169034
1	dont	0.0161881836764849
1	make	0.0156466494375034
1	good	0.0133690734963053
1	becaus	0.0129187858727929
1	time	0.0122520412531337
2	like	0.0338976052310795
2	video	0.0272245042443258
2	one	0.0167552051224066
2	think	0.0134439686701395
2	come	0.0107426105171885
2	thing	0.0100757838001792
2	realli	0.0100502548292068
2	veri	0.00984457519548442
2	year	0.00918061995334257
2	got	0.00912469647749381
3	black	0.0950855240929472
3	man	0.0283335933004673
3	white	0.0259497771537905
3	just	0.0184073166547782
3	whi	0.0176022963847803
3	cop	0.0174868174081487
3	store	0.0174620719118164
3	say	0.0153793844139051
3	owner	0.0148885402932587
3	see	0.0122721790584933
4	love	0.0285637174721503
4	trump	0.0234092798059562
4	thank	0.0168370811084272
4	great	0.0148368667117347
4	god	0.0116222529830747
4	will	0.0107521002191573
4	presid	0.00979233253854787
4	tax	0.00893509130621708
4	power	0.00869330527998596
4	vote	0.00714367693608992
