ParticipantID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,BA_1,BA_2,BA_3,BA_4,SE1,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,spwtime_First Click,spwtime_Last Click,spwtime_Page Submit,spwtime_Click Count,attentioncheck_nb,discrepancy_nb,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,credibility,objective,valid,useful,rl_product_choice,rl_shop_intentions,rl_purchase,rl_wom,rr_product_choice,rr_shop_intentions,rr_purchase,rr_wom,attentioncheck_b,discrepancy_b,SE_2,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,nobias_white,nobias_black,bias_white,bias_black
1,2023-10-21 12:16:12,2023-10-21 12:26:02,0,100,590,1,2023-10-21 12:26:03,R_2S1ub4SInVEXtXW,anonymous,EN,2,6094de19cfc374df110c2781,1,7,1,7,1,4,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,"17C2760,27C999,24C893,28C707,23C666,26C594,27C592,19C883,26C1749,18C765,28C937,25C585,22C647,21C804,20C591,24C816,21C731,18C734,22C649,19C760,END","8C1832,7C836,4C641,9C995,13C756,4C748,12C888,14C930,8C843,11C741,10C1013,3C670,16C808,6C816,5C668,1C582,12C690,15C804,13X1778,2C2084,END","21C3553,3C3856,27C1946,15C755,25C923,16C823,18C765,4C782,24C936,6C2788,19C903,14C1008,17C1220,13C1015,23C1094,8C882,28C962,11C1124,22C857,1C355,END","28C807,13C984,22C1162,8C579,24C737,12C784,23C726,1C742,19C828,14C977,20X1425,9C981,21C1142,11C1970,22C726,5C1199,25C753,7C871,17C881,4C1493,21C812,1C1427,24C997,16C1935,23C915,6C1392,27C850,10C810,19C710,15C1418,26C881,16C866,25C1317,3X1008,18C889,9C1156,18C948,6C1869,28C728,2C754,END","12C1152,11C739,8C664,16C779,3C866,4C737,3C724,14C668,15C660,9C767,9C746,10C624,1C673,2C595,5C864,5C568,6C771,16C756,13C1104,15C774,14C565,8C657,7C970,2C633,12C717,13C549,11C571,6C796,7C848,15C720,5C918,4C758,10C2626,1C1099,11C689,2C675,4C1527,3C1207,10X1325,16C768,END","18C879,9C1266,23C1849,11C847,28C928,2C1215,19C915,6C825,27C742,7C1530,20C891,16C1572,25C723,10C1120,22C3887,3C981,26C1183,1C1261,21C1211,13C896,END","17C1072,12C727,26C729,7C507,19C630,2C620,28C892,6C748,23C803,9C732,20C724,5C936,21C758,10C698,23C711,16C1506,22C820,1C866,25C792,8C801,18C692,11C811,18C657,8C695,24C748,15C859,20C575,13C652,27C688,3C814,26C764,5C550,25C667,4C538,22C506,10C466,24C759,14X926,21C801,12C1050,END",,,,,,,,,,,,,,,,,,,,,,0,0,2.61,0,4,4,3,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,44,5,5,5,,,,,,,1,,1,2,2,,0,2,,21,,,,,0,,,
2,2023-10-21 12:27:51,2023-10-21 12:37:24,0,100,572,1,2023-10-21 12:37:25,R_DMmmXOm1aRKV4oF,anonymous,EN,2,65287af1deb4d6fbefbcccec,7,2,6,6,4,3,1,1,3,4,1,4,1,2,1,1,2,2,1,2,3,"26C1448,27C3567,26X5568,28C2016,28C1151,19C891,18C774,25C1079,23C889,18C607,17C1007,23C814,17C685,24C831,20C718,22C738,25C773,21C706,21C573,22C745,END","1C2319,1C1375,13C1011,4C697,10C834,14C836,14C526,5C624,8C651,15C687,3C639,10C745,6C640,9C754,7C655,8C731,11C641,16C787,12C721,2C787,END","24C4480,8C1847,17C2777,2C1261,21C1356,15C1296,22C1403,9C3407,23C1018,4C1810,25C1291,7C2371,28C1641,1C1501,19C1030,13C934,27C1334,11C965,18C823,10C899,END","18C1040,7C806,25C900,14C892,21C724,11C784,26C804,15C770,27C626,5C980,19C698,8C642,20C653,8C491,20C528,3C652,28C605,6C561,24C666,11C659,17C589,5C637,17C608,2C564,28C670,16C670,22C596,9C864,26C571,13C851,18C530,13C636,24C821,1C540,22C1021,10C871,23C690,4C731,23C585,12C676,END","15C1096,4C1023,6C827,13C875,3C647,4C592,12C600,6C523,3C653,16C517,8C512,10C524,15C643,8C471,12X1119,11C643,5C534,1C603,5C599,2C580,10C644,8C596,5C561,4C536,1X919,10C1082,9C807,2C709,9C671,7C582,1C552,13C778,14X1009,7C682,13C604,9C643,16C536,12C596,14C491,11C547,END","17C1040,9C747,28C714,5C770,25C709,4C607,19C605,13C599,24C660,11C596,26C657,2C693,18C572,1C861,27C724,15C628,20C613,6C711,22C601,12C968,END","27C808,10C672,22X868,4C693,25C578,3C500,23C628,14X763,24C563,13X1040,18C569,11C614,18C488,10C564,23C545,12C547,20C611,1C573,25C594,8C617,27C539,15C675,21X915,5C650,17C705,1C578,20C499,12C653,21C529,2C684,24C711,7C1243,28C562,6C512,17C515,9X607,26C648,16C627,19C522,5C504,END",,,,,,,,,,,,,,,,,,,,,,0,0,2.622,0,,,2,3,3,3,4,1,2,1,1,1,3,3,2,1,2,4,3,5,5,2,,,,,22,1,1,1,2,3,5,,"1,4",4,1,,2,1,,21,,,,,,,,3
3,2023-10-21 12:55:32,2023-10-21 12:55:35,0,100,3,1,2023-10-21 12:55:36,R_2727w9BLFFAlJZX,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-10-21 12:13:33,2023-10-21 12:28:05,0,98,871,0,2023-10-21 12:57:01,R_248lhj0yZfQj3XY,anonymous,EN,2,6533dcf30be32bb486a7a6b8,4,5,5,5,4,1,2,1,3,2,4,2,3,2,1,3,4,1,1,2,3,,,,,,,,"26C3112,24C3031,17C980,27C942,20C987,26C1015,19C1053,25C971,25C1077,20C1176,28C1158,28C849,17C1288,18C1144,23C992,22C1173,22C869,18C1076,21C1000,24C976,END","11C3307,13C1567,11C861,4C823,5C1117,7C829,10C1039,6C886,9C1048,16C931,15C786,14C1076,2C813,12C878,3C884,3C843,15C764,1C1210,8C750,8C656,END","25C1912,13C3756,27C1653,4C2020,22C1026,16C1161,17C664,3C2065,24C961,2C994,26X2864,10C1897,28C913,5C721,19C709,14C1033,20C566,11C517,18C635,6C882,END","23C1185,11C1170,22C763,1C1547,26C902,4C698,20C791,5C866,23C855,15C1631,22C866,16C1382,19C698,6C770,27C731,7C608,24C871,2C622,18C705,14C1033,25C825,8C2691,21C731,9C1211,28C760,9C1276,28C841,1C733,26C849,10C889,21C660,12C573,24X1395,15C1071,17C785,13C1676,19C628,3C734,17C870,5C746,END","15C1275,6C812,8C1217,10C756,4C923,3C1182,15C1079,13C1192,12C659,6C703,9C867,11C912,15C845,8X1161,5C1148,5C650,3C870,2C675,9C770,11C777,7C859,9C1029,10C742,10C682,12C701,14C760,12C671,4C797,1C2426,16C729,1C912,2C740,13C737,1C757,8C896,16C684,14C744,7C754,2X1843,4C727,END","22C1644,7C2361,17C1134,2C870,27C1505,14C847,23C948,8C1212,26C1849,13C1450,25C960,10C1709,21C1216,4C1505,20C1137,12C739,19C1090,15C1676,28C896,5C1262,END","25C1555,10C1206,28C779,13C728,28C761,15C837,21C917,16C893,23C849,6C1583,18C1004,8C722,19C979,14C1359,27C663,4C1246,22C1140,2C1081,27C1167,6C1253,24C1503,12C1325,20C726,3C891,21C693,7C690,17C643,16C666,19C792,8C1445,26C1325,11C635,20C1088,5C1228,23C1100,1X1584,22C833,11C1106,25C916,9C931,END",,,,,,,,,,,,,,,0,0,2.526,0,4,4,2,1,1,2,1,4,1,3,1,2,3,4,1,1,2,3,,,,,,,,,22,5,6,4,,,4,,1,6,2,,3,2,,21,,,,,,1,,
5,2023-10-21 12:49:37,2023-10-21 13:08:13,0,100,1115,1,2023-10-21 13:08:14,R_8ccNPkHM5KVNEdP,anonymous,EN,2,652d455b64e325079534498b,5,5,5,5,3,3,1,1,4,1,3,1,2,1,1,3,3,3,1,4,2,"20C1687,28C999,19C1117,23C901,24C2289,22C920,21C1042,27C993,26C1281,19C949,27C953,24C983,25C1013,28C1243,17C1023,21C821,23C888,18C819,20C933,18C738,END","3C2040,14C1381,16C1190,10C1088,13C889,6C987,15C993,7C912,10C947,2C903,9C1052,1C940,2C1009,11C911,7C939,8C1089,4C840,12C1026,5C1105,12C970,END","20C1424,2C1984,26C1589,13C2794,18C1338,11C2472,22C1739,7C1323,23C1048,10C1967,21C1437,3C1805,27C1015,15C1212,17X2960,9X3358,28C2163,6C1470,25C1472,5C1137,END","26C999,2C1045,17X2939,11C2618,23C1365,8C1732,27C1060,5C1292,22C1016,13C1391,18C1159,3C1585,21C1158,6C1040,25C1055,12C887,23C993,14C1047,27C1055,12C1023,18C917,9C1098,20C1155,8C1284,28C1064,16C1217,28C877,15C1167,21C986,1C1239,22C908,7C791,20C913,1C854,24C936,10C923,19C944,4C1109,24C990,16C1148,END","8C1287,16C1067,7C931,1C1023,13C1375,16C966,15C979,2C961,15C1023,11X2085,10C1261,14C904,9C982,13C771,10C828,12C871,4C945,7C846,6C736,8C777,5C722,11X1553,5C1005,2C884,8C790,13C984,14C1094,6C861,4C1112,3C794,16C970,9C929,1C924,3C930,12C838,2C1024,10X1718,4C1221,7C1018,11C1000,END","21C1144,13C1366,17C2967,9C1948,27C1121,3C1498,28C1164,12C1110,24C1367,8C2046,18C1078,16C1438,19C1132,5C1255,26C1244,14C1208,20C1099,4C1116,25C1164,1C919,END","25C1000,14C910,19C940,15C976,23C1054,7X2166,22C968,9C1550,27C1065,5X1809,26C2402,12C1102,21C962,14C1367,19C903,8C2306,27C1007,4C935,18C850,6C1109,22C774,16C879,23C898,3C870,18C729,2C969,20C933,1C802,28C1004,13C922,24C926,11C963,26C825,2C977,24C968,10C1134,17C759,3C991,17C885,12C1257,END",,,,,,,,,,,,,,,,,,,,,,0,0,2.606,0,,,3,2,2,4,3,3,1,2,1,1,3,3,3,1,4,2,4,2,3,4,7,2,2,1,,,,,1,2,3,47,1,3,3,,1,2,,21,,,,,,,2,
6,2023-10-21 13:07:16,2023-10-21 13:08:23,0,100,67,1,2023-10-21 13:08:24,R_6AkM1bxVl4QACLD,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-10-21 13:00:11,2023-10-21 13:08:40,0,100,509,1,2023-10-21 13:08:41,R_3koXnFVgnGtNkT7,anonymous,EN,2,6531958a74d39ace86a60bd9,2,2,2,2,1,1,1,1,3,2,3,1,1,1,2,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,"27C1616,19C784,18C649,22C704,24C770,19C748,26C755,21C780,20C690,18C652,23C777,20C732,26C756,17C989,25C747,25C802,21C700,24C728,28C848,27C804,END","10C944,9C982,7C744,6C694,1C673,8X1206,12C761,2C642,13X967,1C743,10C704,3C683,6X1272,16C742,9C693,14C637,15C789,11C674,5C667,4C713,END","21C895,14C758,28C923,10C762,17C739,16C730,26C740,7C653,20C745,1X1696,24X1211,15C954,18C608,5C694,23C924,6C802,22X1187,13C1160,27C871,8C625,END","23C896,14C982,24C710,2C614,27C593,13C768,22C809,1X1571,17C1081,4C723,25C687,7C537,21C799,14C546,21C648,13C513,18C536,10C494,18X1191,4C721,20C779,8X1588,27C702,3C712,23C737,11C653,26C643,9C824,19C612,16C720,28C743,12X1212,28X1067,5C710,19X1045,15X1357,22C751,5C749,24C673,6C989,END","11C943,7C855,16C814,3C762,8C680,5C654,9C870,8C1561,10C771,15X1551,7C1215,14C763,2C740,1C674,10X683,13C771,16C547,14C641,9X1203,7X1007,4C543,5C565,1C631,12C688,6C728,1C639,11C683,13C696,16C642,2C842,12C723,3C752,2C661,12X966,4C767,14C869,15C690,6C907,13X928,6X942,END","20C1615,1C622,19C621,12C681,18C770,13C748,17C789,4C607,23C777,8X1397,25C1173,15C816,26C762,3X1332,22C677,14C769,24C1043,16X1203,27C797,6C825,END","27C911,7X1090,19C578,2C663,23C694,11C650,26C645,3C686,17C732,12C650,23C641,1C1389,17C769,2C826,18C569,14C702,25C565,6C731,18C632,14C641,25C649,13C783,28C597,1C717,21C609,10C648,20X1167,4C658,19C617,16C611,20C702,15C728,24C737,5X1209,27C859,15C777,22C756,8C602,28C718,9C983,END",0,0,2.608,0,4,4,1,1,1,3,1,3,1,2,1,3,3,3,1,1,3,3,4,4,3,2,,,,,42,5,5,5,,,1,37,1,5,2,,7,2,,21,,,,,,1,,
8,2023-10-21 13:07:31,2023-10-21 13:16:23,0,100,531,1,2023-10-21 13:16:24,R_3fNJWVCIw4Kfvos,anonymous,EN,2,60fd8a8cf484610fa3d19433,5,5,5,5,3,1,1,1,1,1,4,1,2,1,2,3,3,1,1,1,3,"23C1435,27C687,24C916,22C612,27C1034,23C650,17C639,21C571,25C782,19C649,18C584,28C894,22C564,17C770,25X2242,20C683,24C901,26C764,18C661,20C624,END","3C1379,10C938,4C559,13C710,11C736,2C583,12C713,1C649,11C629,13C701,9C633,1C799,16C719,4C665,7C638,6C810,14C627,5C573,15C660,8X3251,END","27C918,12C767,26C872,8C819,21C679,1C734,18C633,2C704,24C771,9C862,20C718,11C867,23C731,13C631,17C812,3C695,25C1033,5C738,19C641,10C784,END","26C948,1C603,17C584,12C824,28C762,4C657,20C818,15C828,21C675,7C586,23C751,10C653,25X1202,14C895,28C806,8C877,27C787,3C613,18C611,5C562,27C835,16C697,26C632,13C600,21X1012,6C721,22C848,10C697,20C692,14C693,24C867,7C876,18C684,11C770,25C763,9C673,17C693,8C747,19C615,2C579,END","14C869,14C578,16C687,1C640,10C756,8X952,10C711,11C742,6C740,4C574,7C558,9C544,2C761,6C638,13C987,11C755,8C728,12C1049,5C709,12C766,12C620,3C571,13C744,16C688,14C635,4C691,8X1014,2C701,15C840,7C669,15X869,5C1225,9C676,4C714,1C663,10C628,7C596,1C609,3C664,13C813,END","17C783,13C690,27C821,9C757,26C810,5C767,20C796,3C704,18C611,10C652,28C849,11X1088,22C1431,4C667,23C680,7C619,24C873,14C616,19C708,8C700,END","18C884,1C822,26C713,3C602,27C690,6C705,21C824,4C682,21C743,9C733,17C686,11C761,23C605,5C604,23C729,16C773,28C790,8C858,17C681,11C693,19C707,14C700,27C712,12C754,20C728,15C946,25C761,4C630,22C557,9C727,18C586,7C757,26C719,13C1190,24C996,10X1073,25C834,1C525,19C628,2C740,END",,,,,,,,,,,,,,,,,,,,,,0,0,2.506,0,4,3,1,1,1,1,1,4,1,2,1,2,3,3,1,1,1,3,5,5,5,6,48,4,5,5,,,,,,,3,22,1,5,2,,2,2,,22,22,1 year,3,3,0,,,
9,2023-10-21 13:11:13,2023-10-21 13:22:20,0,100,667,1,2023-10-21 13:22:21,R_3syuVnf1XtSkkWo,anonymous,EN,2,5eaae4d434376206a8a74337,7,7,7,7,4,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,,,,,,,,,,,,,,,"18C2196,23C905,28C760,25C707,20C931,17C817,21C1049,28C976,24C721,27C635,18C814,26C871,23C771,22C882,19C1032,17C810,27C1007,24C755,21C1076,19C1246,END","13C1619,12C1133,5C672,14C807,7C711,8C794,12C855,6C889,16C752,10C891,16C716,1C716,4C639,11C774,3C748,15C848,1C696,9C1060,6C810,2C753,END","21C1293,12C1686,19C1160,13C1147,27C1222,16C1126,23C1276,6C1318,17C2475,7C1422,18C1045,10C965,26C1222,9C1290,28C1271,4C1212,24C1418,2C1141,22C1083,1C1149,END","27C2394,8C1465,27C1478,4C1345,19C1238,14C1398,20C1164,8C1834,21C1134,1C1344,18C1190,13C1091,22C1137,15C1197,25C1374,5C1225,20C1193,11C1073,24C1246,6C1306,28C1089,14C1508,22C990,10C1063,23C1370,9C1290,18C1073,2C1396,21C1294,11C1155,17X4627,7C1480,23C1349,16C1154,25C1184,12C1301,26C1060,3C1144,26C1132,3C1509,END","6C1762,12C872,12C1384,4C926,10C958,3C754,5C743,10C744,7C723,13C963,9C1154,6C910,12C1450,7C793,1C1428,5C671,14C757,4C602,2C726,16C671,15C961,1C977,2C1112,8C2092,9C1152,6C933,13C753,16C1037,8C780,9C773,3C912,15C871,7C802,11C736,11C851,1C867,2C744,14C725,10C859,13C751,END","24C3118,16C1061,21C1049,7C927,23C1022,15C862,20C1008,3C890,19C1115,2C1292,18C912,4C948,22C948,9C1119,26C865,5C1062,28C1233,11C947,27C870,12C783,END","18C1361,7C1121,26C1059,5C945,20C1148,14C1048,17X3408,10C1154,27C1510,10C903,28C1006,4C730,17C1032,13C1142,22C918,6C759,23C1034,13C804,19C1290,16C692,27C781,1C1088,22C751,3C789,24C1208,9C739,25C796,2C916,19C834,4C809,21C1188,15C826,26C788,12C640,23C897,11C726,28C834,8C828,20C826,5C824,END",,,,,,,,0,0,2.506,0,,,1,1,1,1,1,4,1,4,1,4,4,4,1,1,1,4,6,6,6,7,9,7,7,6,,,,,1,1,5,58,1,6,2,,0,1,,21,,,,,,,2,
10,2023-10-21 13:15:48,2023-10-21 13:26:43,0,100,654,1,2023-10-21 13:26:44,R_1jxFF74l7ZXta9L,anonymous,EN,2,651ebcca48c60acc82f1f2bd,3,5,5,5,2,1,1,1,3,2,4,2,3,1,3,4,4,1,2,3,4,,,,,,,,,,,,,,,"17C2522,23C1125,26C994,19C996,17C1141,25C943,22C902,20C1054,24C1045,27C938,21C987,20C938,18C960,27C859,26C938,23C958,18C790,28C883,22C736,28C834,END","12C2924,10C1341,5C1001,7C806,12C799,13C894,1C858,6C955,11C810,6C870,3C879,8C879,14C954,2C849,15C1039,4C922,16C907,9C997,4C869,15C968,END","27C1119,3X4549,22C1359,11C1564,20C1243,7C1402,26C1203,4C1378,24C1136,12C2065,18C893,5C1333,23C933,9C1546,25C1039,14C1095,19C807,10C968,17C2012,2C1620,END","22C1202,16C1835,24C995,11C1063,28C1015,15C1194,22C880,6C832,23C899,3C878,17C916,10X1835,25C993,12C1075,21C863,11C1508,26C903,13C888,18C815,16C1149,27C913,14C949,26C957,3X2364,21C946,7C1056,27C1107,2C1329,23C922,4C1470,19C870,1C957,20C980,2C881,20C949,5C963,25C954,8C1050,17C1209,9C1636,END","9C1386,2C754,10C1029,13C990,15C921,5C776,4C1209,14C851,5C779,10C877,11C987,1C770,4C980,6C920,1C864,14C899,9C821,16C816,7C813,7C885,3C877,11C962,7C806,16C891,12C1075,3C921,15C934,11C828,2C846,12C963,1C913,9C928,3C939,8C848,12C756,6C906,16C1460,8C1052,13C869,2C788,END","25C975,5C1216,18C907,6C846,23C934,12C817,26C874,7C856,22C842,13C1032,17C1118,16C939,28C992,10C864,19C872,14C965,24C833,1C950,21C940,3C758,END","27C958,10C997,21C888,10C853,17C916,5C726,26C943,7C849,25C897,3C928,19C730,16C732,20C775,15C819,27C835,5C1015,23C944,15C883,28C889,2C854,22C791,14C803,18C844,12C927,19C982,2C798,18C877,11C938,24C796,6C799,25C839,8C799,20C803,1C861,23C877,9C809,21C768,13C870,26C779,4C738,END",,,,,,,,0,0,2.516,0,4,4,1,1,1,3,1,3,1,4,1,3,4,4,1,1,3,4,6,6,6,6,,,,,41,6,,6,,,2,65,1,6,3,,1,2,,21,,,,,,1,,
