participantID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,attentioncheck_nogap,article_feel,article_sentiment,article_tone,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,BMIS_outraged_1,BMIS_empathetic_1,SE_1,public_CSE1,private_CSE1,credibility,objective,valid,useful,rl_product_choice,RL_timing_First Click,RL_timing_Last Click,RL_timing_Page Submit,RL_timing_Click Count,rl_shop_intentions,rl_purchase,rl_wom,rl_attitude,SE_2,public_CSE2,private_CSE2,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,BMIS_outraged_2,BMIS_empathetic_2,rr_product_choice,RR_timing_First Click,RR_timing_Last Click,RR_timing_Page Submit,RR_timing_Click Count,rr_shop_intentions,rr_purchase,rr_wom,rr_attitude,attentioncheck_gap,control_summary,CN_scale_1,CN_scale_2,CN_scale_3,CN_scale_4,CN_scale_5,CN_scale_6,CN_scale_7,CN_scale_8,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,public_awareness_1,public_awareness_2,public_awareness_3,public_awareness_4,awareness_norms_1,awareness_norms_2,awareness_norms_3,awareness_norms_4,racial_climate_1,racial_climate_2,racial_climate_3,racial_climate_4,disc_concern_1,disc_concern_2,disc_concern_3,disc_concern_4,cb_1,cb_2,cb_3,cb_4,cb_5,cb_6,cb_7,cb_8,cb_9,cb_10,cb_11,cb_12,cb_13,economic_equality,economic_concern,PBRI_1,PBRI_2,PBOI_1,PBOI_2,PBOI_3,purchase_blackbrand,blacklabel_influence,blackbrand_seek,RacialCentrality_1,RacialCentrality_2,RacialCentrality_3,RacialCentrality_4,RacialCentrality_5,RacialCentrality_6,RacialCentrality_7,RacialCentrality_8,PrivateRegard_1,PrivateRegard_2,PrivateRegard_3,PrivateRegard_4,PrivateRegard_5,PrivateRegard_6,PublicRegard_1,PublicRegard_2,PublicRegard_3,PublicRegard_4,PublicRegard_5,PublicRegard_6,frequency ,interracial_contact_1,interracial_contact_2,interracial_contact_3,interracial_contact_4,interracial_contact_5,interracial_contact_6,interracial_contact_7,FeelTherm_1,BA_1,BA_2,BA_3,BA_4,article,collective_concern,personal concern,collective_action,close_circle,community_awareness,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,control_white,control_black,nogap_white,nogap_black,gap_white,gap_black
1,2024-01-25 3:24:42,2024-01-25 3:25:03,0,14,20,0,2024-01-25 13:42:06,R_334ydKnPBJpOUzw,anonymous,EN,2,5bccc0003a1fe100010fc6af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
2,2024-01-25 1:42:29,2024-01-25 1:43:01,0,100,31,1,2024-01-25 1:43:01,R_7tNyn58BTkX5KTL,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-01-25 1:38:39,2024-01-25 1:39:11,0,14,31,0,2024-01-25 13:42:36,R_5s5M8KagtKqwFnH,anonymous,EN,2,642afe1d5b7b12b5f157d6c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
4,2024-01-24 23:39:31,2024-01-24 23:40:09,0,100,38,1,2024-01-24 23:40:10,R_6fvsY0brMglHbh2,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-01-25 0:50:30,2024-01-25 0:51:09,0,61,38,0,2024-01-25 13:42:52,R_720CDAvTWPajmXT,anonymous,EN,2,614f6bad672ef7cf5ecfd965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
6,2024-01-24 23:52:57,2024-01-24 23:53:41,0,2,44,0,2024-01-25 13:43:18,R_1X0AoxXyIVtGrnA,anonymous,EN,2,5b18248744127b00013f90ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
7,2024-01-25 2:03:13,2024-01-25 2:04:00,0,62,46,0,2024-01-25 13:42:29,R_3k0xrp4ZsWqnfBn,anonymous,EN,2,5bebbb9694bff800011dc37c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
8,2024-01-25 0:09:03,2024-01-25 0:09:51,0,38,47,0,2024-01-25 13:43:04,R_3CjZ5hKOsMMzOjv,anonymous,EN,2,614f6831d7ff3784a6ed77c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
9,2024-01-24 23:55:38,2024-01-24 23:56:46,0,14,67,0,2024-01-25 13:43:16,R_6dwQ7TFfSd84VEJ,anonymous,EN,2,5c26ff27bbcebf0001cc8eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
10,2024-01-25 3:18:32,2024-01-25 3:19:52,0,2,80,0,2024-01-25 13:42:08,R_52LliSe6bTPHtyp,anonymous,EN,2,5898b6e256357700011c2c6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
11,2024-01-25 2:46:10,2024-01-25 2:47:48,0,2,97,0,2024-01-25 13:42:26,R_7uPRofFXBCnCVCF,anonymous,EN,2,5e6162fd64d2080671040317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
12,2024-01-25 0:42:39,2024-01-25 0:44:21,0,38,101,0,2024-01-25 13:42:51,R_54H9965L2AOozNT,anonymous,EN,2,628db649ec2ce46bc626570f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
13,2024-01-25 2:05:59,2024-01-25 2:07:52,0,2,112,0,2024-01-25 13:42:26,R_591I4sujg7JaJnr,anonymous,EN,2,644f255ec4f58fe559261911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
14,2024-01-25 0:18:56,2024-01-25 0:20:50,0,14,114,0,2024-01-25 13:42:54,R_1Q3nnf7vdCyaLGZ,anonymous,EN,2,58d9a79c33fef3000118abdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
15,2024-01-25 0:54:17,2024-01-25 0:56:14,0,100,117,1,2024-01-25 0:56:14,R_793flC2YTBB2OT7,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-01-25 1:13:54,2024-01-25 1:15:58,0,62,124,0,2024-01-25 13:42:43,R_7HNqYbGPjURfshl,anonymous,EN,2,6543c921d96d1c4035b236c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
17,2024-01-25 0:33:48,2024-01-25 0:35:55,0,50,127,0,2024-01-25 13:42:52,R_59pjezpce0go7M5,anonymous,EN,2,6557311b0fd795ca70b212cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
18,2024-01-25 2:54:43,2024-01-25 2:57:00,0,62,137,0,2024-01-25 13:42:16,R_7WYbbgoBfBdFFun,anonymous,EN,2,6469af575bcebf3f7e552039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
