StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prolificID,SE1,public_CSE1,private_CSE1,BMIS_sad_1,BMIS_shame_1,BMIS_guilt_1,BMIS_tired_1,BMIS_nervous_1,BMIS_calm_1,BMIS_fedup_1,BMIS_loving_1,BMIS_angry_1,BMIS_lively_1,BMIS_caring_1,BMIS_content_1,BMIS_gloomy_1,BMIS_jittery_1,BMIS_drowsy_1,BMIS_happy_1,BMIS_outraged_1,BMIS_empathetic_18,attentioncheck_nogap,article_feel,article_sentiment,article_tone,BMIS_sad_2,BMIS_shame_2,BMIS_guilt_2,BMIS_tired_2,BMIS_nervous_2,BMIS_calm_2,BMIS_fedup_2,BMIS_loving_2,BMIS_angry_2,BMIS_lively_2,BMIS_caring_2,BMIS_content_2,BMIS_gloomy_2,BMIS_jittery_2,BMIS_drowsy_2,BMIS_happy_2,BMIS_outraged_2,BMIS_empathetic_2,SE_2,public_CSE2,private_CSE1,credibility,objective,valid,useful,attentioncheck_gap,control_summary,age,race,education,polit_affil,polit_affil_4_TEXT,polit_affil_cont_1,gender,gender_4_TEXT,iat_prev,iat_racial,iat_racial_time,iat_racial_quant,recent_results,control,nogap,gap
2024-01-12 14:07:09,2024-01-12 14:17:25,0,100,616,1,2024-01-12 14:17:26,R_6fYylJBDwMEA2eR,anonymous,EN,2,60fef1f87e50bd7f55933f00,3,5,1,2,1,1,3,2,3,1,3,1,1,4,2,3,1,3,2,1,4,,2,15,2,2,1,1,3,2,3,1,4,1,1,4,2,3,1,2,2,1,4,3,5,1,4,4,4,2,,There is a significant difference in wealth between rural and non rural areas. Some of these differences are from lack of economic initiative and some are from changing costs of living. The government takes step to encourage economic growth in some of these areas.,26,1,3,1,,6,2,,21,,,,,0,,
2024-01-12 14:15:18,2024-01-12 14:19:42,0,100,264,1,2024-01-12 14:19:43,R_6hKkgD5gyxjWJnt,anonymous,EN,2,62743aeb9ef8628d06ec5a75,2,3,2,3,3,3,2,3,3,4,2,3,2,3,2,4,2,2,2,2,3,"White and black adults age 65+ have similar incomes, both high school and college educated.",4,16,3,3,3,3,2,2,3,3,2,2,2,3,1,4,2,2,1,2,2,2,3,2,2,3,3,3,,,53,1,5,2,,3,1,,21,,,,,,1,
2024-01-12 14:14:29,2024-01-12 14:20:27,0,100,358,1,2024-01-12 14:20:28,R_6ozuGO0xP14XiI9,anonymous,EN,2,63d59b52111ca1095779494b,3,3,3,2,1,1,2,1,3,1,2,1,2,2,3,1,1,1,3,1,2,,2,14,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,5,5,4,4,"There is great economic disparity between whites and blacks in many different areas of the economy and situations.This includes home equity, savings amounts, and income.",,34,1,6,2,,2,2,,21,,,,,,,2
2024-01-12 14:18:30,2024-01-12 14:21:27,0,100,176,1,2024-01-12 14:21:27,R_5OpwF4oMGOSdFaV,anonymous,EN,2,5e3f6103f5f3e51c95083a52,3,3,3,2,2,2,2,2,3,1,2,2,2,2,2,3,2,3,2,2,2,,2,14,2,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3,6,4,5,5,,there is a wide gap between salaries in the nation depending on location. Pay is becoming worse over the years.,36,1,5,5,,4,1,,21,,,,,0,,
2024-01-12 14:26:16,2024-01-12 14:26:28,0,100,12,1,2024-01-12 14:26:29,R_7vj4vIGPN7YU83L,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:27:26,2024-01-12 14:27:36,0,100,9,1,2024-01-12 14:27:36,R_3dGvXAi7lU358qN,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:24:33,2024-01-12 14:28:18,0,100,224,1,2024-01-12 14:28:18,R_1iWsbBn3qaqjmCO,anonymous,EN,2,600cff71c2b8b6481b27bff4,3,2,5,1,1,1,1,1,4,1,3,1,3,4,4,1,1,3,3,1,4,"Giving people the opportunity to pursue higher education leads to better outcomes for everyone, as well as society as a whole. ",4,16,4,1,1,1,1,1,3,1,3,1,1,3,3,1,1,1,3,1,3,3,1,5,5,5,5,5,,,29,1,2,2,,0,3,,21,,,,,,1,
2024-01-12 14:25:44,2024-01-12 14:28:23,0,100,158,1,2024-01-12 14:28:23,R_6VfklqnXzqzQo0y,anonymous,EN,2,5f3f22388550032138c461ef,1,4,1,3,3,3,3,3,2,3,2,2,1,3,1,3,2,3,1,2,3,,2,15,2,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,2,2,3,1,4,1,4,4,4,4,The article was about housing inequality.  It had statistics to back it up.,,37,1,2,1,,5,2,,21,,,,,,,2
2024-01-12 14:29:42,2024-01-12 14:29:53,0,100,11,1,2024-01-12 14:29:54,R_7QRS8X75QlSzwRw,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-12 14:35:17,2024-01-12 14:35:20,0,100,2,1,2024-01-12 14:35:20,R_7OlTcrkHAi0D5Xr,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
