search_query,video_id,title,video_url,description,channel_id,subscriber_count,likes,views,comments,top_comments,stages,category,licensed_content,duration,comments_enabled,order
black entrepreneurship,bTOoY5MIkvM,Pharrell Williams - Entrepreneur (Official Video) ft. JAY-Z,https://www.youtube.com/watch?v=bTOoY5MIkvM,"Official video for ""Entrepreneur"" by Pharrell Williams featuring JAY-Z. 

Listen & Download “Entrepreneur” out now: https://pharrellwilliams.lnk.to/Entrepreneur

Amazon Music - https://pharrellwilliams.lnk.to/Entrepreneur/amazonmusic
Apple Music - https://pharrellwilliams.lnk.to/Entrepreneur/applemusic
iTunes - https://pharrellwilliams.lnk.to/Entrepreneur/itunes
Pandora - https://pharrellwilliams.lnk.to/Entrepreneur/pandora
Tidal - https://pharrellwilliams.lnk.to/Entrepreneur/tidal
Spotify - https://pharrellwilliams.lnk.to/Entrepreneur/spotify
YouTube Music - https://pharrellwilliams.lnk.to/Entrepreneur/youtubemusic

Directed by Calmatic
Producers Candice Dragonas, Tina Pavlides & Lola Ridgell
A Prettybird Production

Connect with Pharrell Williams
Facebook: https://www.facebook.com/Pharrell/ 
Instagram: https://www.instagram.com/pharrell/ 
Twitter: https://twitter.com/Pharrell 
IamOther: https://iamother.com/

Connect with JAY-Z
Facebook - https://www.facebook.com/JayZ
Twitter - https://twitter.com/S_C_

http://pharrellwilliams.com/

#PharrellWilliams #Entrepreneur #JAYZ",UCtQMmwBJGvINGU0lZ_GrZKQ,1330000,230426,11221647,12854,"['The amount of inspiration this song gives me as a black man is unfathomable.', 'The last one gave me goosebumps and tears<br><br><b>BLACK MEN</b> ✊🏿', 'This is so inspiring, me and my friend are planning to create and launch a clothing line and his moms just gave us her blessings, in 5 years from now I will be back here to tell the world how the business is doing... peace and blessings to whoever read this comment.']",none,10,TRUE,5.5,TRUE,relevance
black business,_qNQI7dsTog,BREAKING NEWS: Trump Makes Surprise Call During Roundtable With Black Business Leaders In Atlanta,https://www.youtube.com/watch?v=_qNQI7dsTog,"On Wednesday, Former President Donald Trump called into a roundtable with black business leaders hosted by his campaign and Rep. Byron Donalds (R-FL) in Atlanta, Georgia ahead of the first Presidential debate.

Fuel your success with Forbes. Gain unlimited access to premium journalism, including breaking news, groundbreaking in-depth reported stories, daily digests and more. Plus, members get a front-row seat at members-only events with leading thinkers and doers, access to premium video that can help you get ahead, an ad-light experience, early access to select products including NFT drops and more:

https://account.forbes.com/membership/?utm_source=youtube&utm_medium=display&utm_campaign=growth_non-sub_paid_subscribe_ytdescript


Stay Connected
Forbes on Facebook: http://fb.com/forbes
Forbes Video on Twitter: http://www.twitter.com/forbes
Forbes Video on Instagram: http://instagram.com/forbes
More From Forbes:  http://forbes.com",UCg40OxZ1GYh3u3jBntB6DLg,3380000,32510,909649,4594,"['No Tax on Tips and No Tax on Social Security Payments.', 'I vote for politicians who want to cut my taxes. Not grow the government', 'I was paying 1.87 a gallon for Diesel while Trump was President...']",none,25,TRUE,12.38333333,TRUE,relevance
black business,g5KrZze4KMA,Black Business Spotlight: Jacx Carter Designs | 3D Popup Shop,https://www.youtube.com/watch?v=g5KrZze4KMA,"Jewelry is the most underrated form of self-expression, so it is no wonder why Jacx Carter Designs jewelry is so eye catching. Designed by Tiesha Carter, a Baltimore native, each piece exhibits individuality and style. Whether you are looking for something for that special someone or want to add some flare to your already well-crafted jewelry collection, you will be sure to find something amongst Jacx Carter Designs.
__________________________________________________________________________________ 

SIGN UP FOR FREE BLACK BUSINESS DIRECTORY LISTING  
https://3dpfree.eventbrite.com

CHECK OUT THE 3D POPUP SHOP BLACK BUSINESS DIRECTORY 
#100BUSINESSES
https://www.3dpopupshop.com/businesses/

________________________________________________________________________________ 
*****FEATURED BUSINESS***** 
JACX CARTER DESIGNS
https://www.jacxcdesigns.com/
@JacxCarterDesigns

0:09 Intro
0:53 About JACX Carter Designs
2:35 Marrying her passions
7:19 Design inspiration
8:32 JACX aesthetic
11:00 Where to Purchase",UC6Wpyv992duP9fxyBTj_YFw,9530,4,779,0,[],none,24,FALSE,12.5,TRUE,date
black business,jregXcKEQKM,The 20 Richest &amp; Biggest BLACK-OWNED Businesses in the USA 2023...,https://www.youtube.com/watch?v=jregXcKEQKM,"The Biggest and Richest Black-owned Business In America.

Whenever we talk about Businesses and companies in the United States, all the big businesses tend to be owned and controlled by whites and you will hardly find 1 owned by a black person. Anytime blacks in the US have tried to establish themselves throughout time, they’re always being suppressed, stopped, and silenced in 1 way or another. Despite being oppressed for as long as we can recall, the blacks have still not given up. They keep on fighting and striving to the extent that we now have black billionaires in the USA. They run multiple businesses and employ thousands of people too. In this video, we are going to be seeing the 20 biggest and Richest Black-owned Businesses in the United States Of America in 2022.

Other videos you will definitely enjoy from our channel;

The 12 Richest Women In The World:https://www.youtube.com/watch?v=3aS-DzF3JhA

The 15 Richest Black Families in America:https://www.youtube.com/watch?v=91N_ej6lImg

Wealth Of African Countries Ranked By GDP:https://www.youtube.com/watch?v=PJ6klSFKGwE

Reasons The United States Of Africa May Fail:https://www.youtube.com/watch?v=HxTT6d1e0ks


FOOTAGE licensed through Storyblocks",UC9WWMBRBALpMD9iszBRMkPA,425000,1437,33476,81,"['if you found this video informative and entertaining, they be sure to hit that like button and also don&#39;t forget to hit that like button above. you might also love our video on the 15 RICHEST BLACK AMERICAN FAMILIES:<a href=""https://www.youtube.com/watch?v=91N_ej6lImg"">https://www.youtube.com/watch?v=91N_ej6lImg</a>', 'Thank you very much for this video. NOT showing Oprah and entertainers with wealth only.', 'Thanks! so much for showing black excellence. As a proud black American women it so refreshing to see my people in  power roles not just an employees. With the negatives images and stereotypes of us black Americans I am so proud of all these black owned and operated companies. I would invest all these black owned and operated companies if I had money. Please!! upload more black owned and operated companies. This video made my heart feel so good!! Thank you! and God bless your YouTube channel.🙏🙏🙏🙏😊🙏🙏']",none,27,TRUE,16.8,TRUE,relevance
black entrepreneurship,PhL22LbVA6M,Black Entrepreneurship - No Excuses,https://www.youtube.com/watch?v=PhL22LbVA6M,"Jay Jones, host of Black Entrepreneur Blueprint podcast, discusses the importance of Black entrepreneurship and why there are no excuses not to start a business if you really want to with todays' technology. www.BlackEntrepreneurBlueprint.com",UC1PA6LbYApz1lIBHgfwGYSQ,3350,104,1888,0,[],none,22,FALSE,12.8,TRUE,relevance
black entrepreneurship,5bqo_T47ACc,Top 10 Cities for Rich Wealthy African Americans and Black Entrepreneurs (Part 1),https://www.youtube.com/watch?v=5bqo_T47ACc,"Here are the top 10 Cities for Rich and Wealthy African Americans. Through Forbes data, there is a common resounding theme that you may or may not be surprised with regarding the concentration in locations. 


Forbes report answers statistical data for America's 53 largest metropolitan cities using four critical factors: homeownership rate, entrepreneurship, median household income and African-American population growth from early 2000s to 2020. The south has demonstrated its abundance of young black men and black women that have been a symbol for black entrepreneurship. Black entrepreneurs and millennials advance black business through the black community. People of color continue to build wealth.

All Creative Commons works licensed under CC BY 3.0
https://creativecommons.org/licenses/... All works used are derivatives.

----------------------------------

Video Credits: 
Black Excellence Excellist

----------------------------------

►Fair Use Disclaimer:

Our purpose, when making motivational videos, is to make quality educational motivational videos and share these with our viewers.

1)This video has no negative impact on the original works (It would actually be positive for them)
2)This video is also used for teaching purposes.
3)It is transformative in nature.
4)I ONLY used bits and pieces of videos to get the point across where necessary.",UCZxUdweMVnHAU5ahDDs5PCw,873,11,726,6,"['I knew ATL was known to have a lot of this demographic. Didn&#39;t know Raleigh would make the top 5', 'why is it that I keep hearing people complain about no jobs in Atlanta for those with a bachelor&#39;s degree, esp in the tech industry?🤷🏽\u200d♀️', 'Austin, Tx  🤣']",none,27,FALSE,4.05,TRUE,relevance
black business,kwtwqcvBm_M,Amazon launches new ‘Black Business Accelerator’ program,https://www.youtube.com/watch?v=kwtwqcvBm_M,Learn how it works and find out if you are eligible.,UCJCdiZtw9zStiR3xgnp7qlg,345000,18,976,64,"['Definition of racism.....big tech &amp; the entire “woke” culture are so detached from reality.', 'How many retail owners did Amazon put out of business?? 🤦\u200d♂️', 'It’s not easy being white in a black world…….']",none,25,TRUE,4.116666667,TRUE,relevance
black business,RbKqb2l7r2I,Disrupting Atlanta To Remain Black Business Mecca,https://www.youtube.com/watch?v=RbKqb2l7r2I,"How Mayor Dickens’ Moving Atlanta Forward agenda drives entrepreneurship, tech and equity in this thriving metro.",UCIbFhmYOqhvrudtVZG5-KEA,41500,8,53,0,[],none,24,FALSE,7.35,TRUE,date
black business,j6Vi7K_N5E8,Black Business Summit to tackle transformation,https://www.youtube.com/watch?v=j6Vi7K_N5E8,"Business and government are coming together to discuss issues around transformation and empowerment, procurement, crime and corruption and creating space in the market for previously disadvantaged business people. Rofhiwa Madzena reports. #eNCA Courtesy #DStv43",UCI3RT5PGmdi1KVp9FG_CneA,1630000,4,1206,8,['Would it be racist if there was a white business summit or indian &amp; coloured summits...just asking'],none,25,TRUE,6.916666667,TRUE,date
black business,XOk8_nn9iZQ,"how to start black pepper business,काली मिर्च का बिज़नेस कैसे करें,new business ideas,#businessideas",https://www.youtube.com/watch?v=XOk8_nn9iZQ,"how to start black pepper business,काली मिर्च का बिज़नेस कैसे करें,new business ideas,#businessideas",UCBJM7w-lZlsXxWbqEL03j5w,9,0,2,0,[],none,27,FALSE,6.533333333,TRUE,date
